   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
9434,550656,Lei nº 8.780 de 21/12/1993,LEI-8780-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   de Encargos Financeiros da União - Recursos sob Supervisão do Ministério da   Fazenda, crédito suplementar no valor de Cr$ 734.852.923.00, para fins que   especifica."
9435,550557,Lei nº 8.681 de 13/07/1993,LEI-8681-1993-07-13,"Dá nova redação ao art. 30 da Lei nº 8.177, de 1º de março de   1991."
9436,550564,Lei nº 8.688 de 21/07/1993,LEI-8688-1993-07-21,"Dispõe sobre as alíquotas de contribuição para o Plano de Seguridade do   servidor público civil dos Poderes da União, das autarquias e das fundações   públicas, e dá outras providências."
9437,550581,Lei nº 8.705 de 09/09/1993,LEI-8705-1993-09-09,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União crédito   especial até o limite de Cr$ 800.000.000,00 para os fins que especifica."
9438,550549,Lei nº 8.673 de 06/07/1993,LEI-8673-1993-07-06,Restabelece o incentivo fiscal que menciona e dá outras   providências.
9439,550522,Lei nº 8.646 de 07/04/1993,LEI-8646-1993-04-07,Dispõe sobre a organização e o funcionamento do Conselho Monetário   Nacional.
9440,550670,Lei nº 8.794 de 21/12/1993,LEI-8794-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério do Bem-Estar Social, crédito especial até o limite   de Cr$ 218.000,00, para os fins que especifica."
9441,550601,Lei nº 8.725 de 05/11/1993,LEI-8725-1993-11-05,"Dá nova redação ao caput do art. 4º da Lei nº 6.932, de 7 de julho de   1981, alterado pela Lei nº 8.138, de 28 de dezembro de 1990."
9442,550646,Lei nº 8.770 de 21/12/1993,LEI-8770-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   da Presidência da República, crédito suplementar no valor de Cr$ 1.423.021,00   para fins que especifica."
9443,550713,Lei nº 8.837 de 23/12/1993,LEI-8837-1993-12-23,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor do   Ministério da Integração Regional, crédito suplementar no valor de Cr$   6.689.938.335,00, para os fins que especifica."
9444,550552,Lei nº 8.676 de 13/07/1993,LEI-8676-1993-07-13,"Dispõe sobre a política de remuneração dos servidores públicos civis e militares da Administração Federal direta, autárquica e fundacional e dá outras providências."
9445,550555,Lei nº 8.679 de 13/07/1993,LEI-8679-1993-07-13,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Cultura, crédito adicional até o limite de Cr$   817.000.000.000,00, para os fins que especifica."
9446,550544,Lei nº 8.668 de 25/06/1993,LEI-8668-1993-06-25,Dispõe sobre a constituição e o regime tributário dos Fundos de Investimento Imobiliário e dá outras providências.
9447,550704,Lei nº 8.828 de 22/12/1993,LEI-8828-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   de Encargos Financeiros da União - Recursos sob Supervisão do Ministério da   Fazenda, créditos adicionais até o limite de Cr$ 93.662.830.173,00, para os fins   que especifica."
9448,550520,Lei nº 8.644 de 31/03/1993,LEI-8644-1993-03-31,"Autoriza o Poder Executivo a abrir ao Orçamento da União crédito extraordinário para os fins que especifica, e dá outras providências."
9449,550569,Lei nº 8.693 de 03/08/1993,LEI-8693-1993-08-03,"Dispõe sobre a descentralização dos serviços de transporte ferroviário coletivo de passageiros, urbanos e suburbano, da União para os Estados e Municípios, e dá outras providências."
9450,550716,Lei nº 8.840 de 27/12/1993,LEI-8840-1993-12-27,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Agricultura, do Abastecimento e da Reforma Agrária, créditos   adicionais até o limite de Cr$ 3.829.717.756,00, para fins que especifica."
9451,550611,Lei nº 8.735 de 25/11/1993,LEI-8735-1993-11-25,"Define condições para aquisição e remoção de alimentos básicos destinados   à população flagelada pela seca, e autoriza o Poder Executivo a abrir ao   Orçamento da Seguridade Social da União, em favor do Ministério da Integração   Regional e do Ministério do Exército, crédito extraordinário no valor de CR$   5.470.000.000,00"
9452,550626,Lei nº 8.750 de 13/12/1993,LEI-8750-1993-12-13,"Autoriza o Poder Executivo a abrir aos Orçamentos Fiscal e de Seguridade   Social crédito adicional no valor de Cr$ 1.528.053.219.782,00 para fins que   especifica."
9453,550501,Lei nº 8.625 de 12/02/1993,"LEI-8625-1993-02-12 , Lei Orgânica do Ministério Público (1993)","Institui a Lei Orgânica Nacional do Ministério Público, dispõe sobre normas gerais para a organização do Ministério Público dos Estados e dá outras providências."
9454,550533,Lei nº 8.657 de 21/05/1993,LEI-8657-1993-05-21,"Acrescenta parágrafos ao art. 27 da Lei nº 6.662, de 25 de junho de 1979,   que dispõe sobre a Política Nacional de Irrigação, e dá outras   providências."
9455,550689,Lei nº 8.813 de 22/12/1993,LEI-8813-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   dos Ministérios da Ciência e Tecnologia, da Cultura e do Meio Ambiente, crédito   adicional até o limite de Cr$ 1.192.026.288,00, para os fins que especifica."
9456,550706,Lei nº 8.830 de 23/12/1993,LEI-8830-1993-12-23,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Agricultura, do Abastecimento e da Reforma Agrária, crédito   especial até o limite de Cr$ 28.000.000,00, (vinte e oito milhões de cruzeiros   reais), para os fins que especifica."
9457,550658,Lei nº 8.782 de 21/12/1993,LEI-8782-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   dos Ministérios da Ciência e Tecnologia, da Cultura e do Meio Ambiente, crédito   adicional até o limite de Cr$ 1.276.923.913,00, para fins que especifica."
9458,550495,Lei nº 8.619 de 05/01/1993,LEI-8619-1993-01-05,"Altera dispositivos das Leis nºs 8.212 e 8.213, de 24 de julho de   1991."
9459,550690,Lei nº 8.814 de 22/12/1993,LEI-8814-1993-12-22,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor de   diversos Órgãos, crédito suplementar no valor de Cr$ 1.026.300.000,00, com   recursos provenientes de títulos emitidos no âmbito do Programa Nacional de   Desestatização, para os fins que especifica."
9460,550652,Lei nº 8.776 de 21/12/1993,LEI-8776-1993-12-21,"Altera dispositivo da Lei nº 8.447, de 21 de julho de 1992."
9461,550688,Lei nº 8.812 de 22/12/1993,LEI-8812-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Justiça, crédito suplementar de Cr$ 11.985.651,00, para os fins   que especifica."
9462,550715,Lei nº 8.839 de 27/12/1993,LEI-8839-1993-12-27,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor da   Justiça Federal, da Justiça Militar, da Justiça Eleitoral e da Justiça do   Trabalho, créditos adicionais até o limite de Cr$ 2.064.196.142,00, para fins   que especifica."
9463,550527,Lei nº 8.651 de 28/04/1993,LEI-8651-1993-04-28,"Dispõe sobre a abertura de crédito extraordinário ao Orçamento da União   para os fins que especifica, e dá outras providências."
9464,550582,Lei nº 8.706 de 14/09/1993,LEI-8706-1993-09-14,Dispõe sobre a criação do Serviço Social do Transporte - SEST e do Serviço Nacional de Aprendizagem do Transporte - SENAT.
9465,550510,Lei nº 8.634 de 12/03/1993,LEI-8634-1993-03-12,"Dispõe sobre o remanejamento de cargos criados pela Lei nº 7.178, de 19 de   dezembro de 1983, para o Quadro de Pessoal Permanente da Secretaria do Conselho   da Justiça Federal."
9466,550678,Lei nº 8.802 de 22/12/1993,LEI-8802-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Justiça, crédito especial até o limite de Cr$ 915.750,00, para   os fins que especifica."
9467,550660,Lei nº 8.784 de 21/12/1993,LEI-8784-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade da União, em   favor do Ministério da Saúde - Fundo Nacional de Saúde, crédito suplementar no   valor de Cr$ 12.433.000.000,00, para fins que especifica."
9468,550559,Lei nº 8.683 de 15/07/1993,LEI-8683-1993-07-15,"Dá nova redação ao art. 206 do Decreto-Lei n° 2.848, de 7 de dezembro   de 1940 -Código Penal."
9469,550598,Lei nº 8.722 de 27/10/1993,LEI-8722-1993-10-27,Torna obrigatória a baixa de veículos vendidos como sucata e dá outras providências   .
9470,550503,Lei nº 8.627 de 19/02/1993,LEI-8627-1993-02-19,Especifica os critérios para reposicionamento de servidores públicos federais civis e militares e dá outras providências.
9471,550648,Lei nº 8.772 de 21/12/1993,LEI-8772-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   de diversos órgãos, crédito suplementar no valor de Cr$ 534.894.166,00, para   fins que especifica."
9472,550667,Lei nº 8.791 de 21/12/1993,LEI-8791-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério dos Transportes, crédito suplementar no valor de Cr$   1.103.264.880,00 e crédito especial de Cr$ 32.711.000,00, para os fins que   especifica."
9473,550538,Lei nº 8.662 de 07/06/1993,LEI-8662-1993-06-07,Dispõe sobre a profissão de Assistente Social e dá outras providências
9474,550641,Lei nº 8.765 de 21/12/1993,LEI-8765-1993-12-21,"Altera o art. 43 da Lei nº 8.447, de 21 de julho de 1992, no exercício   financeiro de 1993, que dispõe sobre a receita decorrente da emissão de títulos   da dívida pública federal, pelo Tesouro Nacional e dá outras   providências."
9475,550531,Lei nº 8.655 de 21/05/1993,LEI-8655-1993-05-21,"Autoriza a transformação de cargos vagos no âmbito das Instituições   Federais de Ensino, abrangidas pela Lei nº 7.596, de 10 de abril de 1987."
9476,550497,Lei nº 8.621 de 08/01/1993,LEI-8621-1993-01-08,"Altera a composição e a organização interna do Tribunal Regional do   Trabalho da 12ª Região, com sede em Florianópolis - SC, e dá outras   providências."
9477,550705,Lei nº 8.829 de 22/12/1993,LEI-8829-1993-12-22,"Cria, no Serviço Exterior Brasileiro, as Carreiras de Oficial de Chancelaria e de Assistente de Chancelaria, e dá outras providências."
9478,550664,Lei nº 8.788 de 21/12/1993,LEI-8788-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério da Saúde - Fundo Nacional de Saúde, crédito   suplementar no valor de Cr$ 2.478.906869,00, para os fins que especifica."
9479,550643,Lei nº 8.767 de 21/12/1993,LEI-8767-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Justiça, crédito suplementar no valor de Cr$ 394.208.248,00,   para os fins que especifica."
9480,550512,Lei nº 8.636 de 16/03/1993,LEI-8636-1993-03-16,"Cria cargos em comissão na Secretaria do Tribunal Regional do Trabalho da 2ª   Região, com sede em São Paulo - SP, e dá outras   providências."
9481,550593,Lei nº 8.717 de 14/10/1993,LEI-8717-1993-10-14,"Dá nova redação ao art. 81 da Lei nº 8.237, de 30 de setembro de   1991."
9482,550500,Lei nº 8.624 de 04/02/1993,"LEI-8624-1993-02-04 , Lei Federal do Plebiscito (1993)","Dispõe sobre o plebiscito que definirá a forma e o sistema de governo e regulamenta o art. 2º do Ato das Disposições Constitucionais Transitórias, alterado pela Emenda Constitucional nº 2."
9483,550515,Lei nº 8.639 de 31/03/1993,LEI-8639-1993-03-31,Disciplina o uso de caracteres nas publicações obrigatórias.
9484,550542,Lei nº 8.666 de 21/06/1993,"LEI-8666-1993-06-21 , Lei de Licitações e Contratos (1993)","Regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências."
9485,550543,Lei nº 8.667 de 24/06/1993,LEI-8667-1993-06-24,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério do Bem-Estar Social, crédito suplementar no valor   de Cr$ 1.200.000.000.000,00, para os fins que especifica."
9486,550622,Lei nº 8.746 de 09/12/1993,LEI-8746-1993-12-09,"Cria, mediante transformação, o Ministério do Meio Ambiente e da Amazônia   Legal, altera a redação de dispositivos da Lei nº. 8.490, de 19 de novembro de   1992, e dá outras providências."
9487,550647,Lei nº 8.771 de 21/12/1993,LEI-8771-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Indústria, do Comércio e do Turismo, crédito suplementar no   valor de Cr$ 130.000.000,00, para reforço de dotações consignadas no vigente   orçamento."
9488,550640,Lei nº 8.764 de 20/12/1993,LEI-8764-1993-12-20,Cria a Secretaria Nacional de Entorpecentes e dá outras providências.
9489,550504,Lei nº 8.628 de 19/02/1993,LEI-8628-1993-02-19,Dispõe sobre a regulamentação da Carreira de Apoio Técnico-Administrativo   do Ministério Público da União - MPU e dá outras providências.
9490,550558,Lei nº 8.682 de 14/07/1993,LEI-8682-1993-07-14,"Dispõe sobre a remuneração de cargos de provimento em comissão da   Advocacia-Geral da União, revigora a Lei nº 8.200, de 28 de junho de 1991,   oferecendo nova redação ao inciso I, do seu art. 3º, e dá outras providências."
9491,550625,Lei nº 8.749 de 10/12/1993,LEI-8749-1993-12-10,"Dispõe sobre recursos não reclamados correspondentes a aplicação em fundos   de curto prazo ao portador, e dá outras providências."
9492,550642,Lei nº 8.766 de 21/12/1993,LEI-8766-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Justiça, crédito especial até o limite de Cr$ 600.000,00, para   os fins que especifica."
9493,550662,Lei nº 8.786 de 21/12/1993,LEI-8786-1993-12-21,"Autoriza o Poder Executivo a abrir aos Orçamentos Fiscal e da Seguridade   Social da União, em favor de diversos Órgãos, crédito suplementar no valor de   Cr$ 2.246.396.000,00, para fins que especifica."
9494,550607,Lei nº 8.731 de 16/11/1993,LEI-8731-1993-11-16,Transforma as Escolas Agrotécnicas Federais em autarquias e dá outras   providências.
9495,550505,Lei nº 8.629 de 25/02/1993,"LEI-8629-1993-02-25 , Lei da Reforma Agrária (1993)","Dispõe sobre a regulamentação dos dispositivos constitucionais relativos à reforma agrária, previstos no Capítulo III, Título VII, da Constituição Federal."
9496,550651,Lei nº 8.775 de 21/12/1993,LEI-8775-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério da Previdência Social, crédito suplementar no   valor de Cr$ 38.358.163,00, para fins que especifica."
9497,550628,Lei nº 8.752 de 13/12/1993,LEI-8752-1993-12-13,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério da Previdência Social, crédito especial até o   limite de Cr$ 20.323.962.000,00, para os fins que especifica."
9498,550597,Lei nº 8.721 de 27/10/1993,LEI-8721-1993-10-27,Dispõe sobre a reestruturação das Procuradorias Regionais da República e   dá outras providências.
9499,550624,Lei nº 8.748 de 09/12/1993,LEI-8748-1993-12-09,Altera a legislação reguladora do processo administrativo de determinação e exigência de créditos tributários da União e dá outras providências.
9500,550645,Lei nº 8.769 de 21/12/1993,LEI-8769-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Justiça, crédito especial até o limite de Cr$ 20.248.090,00,   para fins que especifica."
9501,550519,Lei nº 8.643 de 31/03/1993,LEI-8643-1993-03-31,"Prorroga os prazos previstos no art. 1º da Lei nº 8.191, de 11 de junho de   1991, e no art. 46 da Lei nº 8.383, de 30 de dezembro de 1991, que instituem   isenção do Imposto sobre Produtos Industrializados - IPI e depreciação acelerada   para máquinas e equipamentos, respectivamente, e dá outras providências."
9502,550697,Lei nº 8.821 de 22/12/1993,LEI-8821-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   de Operações Oficiais de Crédito - Recursos sob Supervisão do Ministério da   Fazenda, crédito suplementar no valor de Cr$ 55.104.000.000,00, para os fins que   especifica."
9503,550589,Lei nº 8.713 de 30/09/1993,LEI-8713-1993-09-30,Estabelece normas para as eleições de 3 de outubro de 1994.
9504,550540,Lei nº 8.664 de 14/06/1993,LEI-8664-1993-06-14,"Reajusta o valor da pensão especial concedida a Justiniana Fleury Passos e   revertida a Maria Nilza Fleury Passos, filha do ex-Deputado Edson Junqueira   Passos."
9505,550671,Lei nº 8.795 de 21/12/1993,LEI-8795-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério do Bem Estar Social, crédito suplementar no valor   de Cr$ 40.818.424,00, para os fins que especifica."
9506,550649,Lei nº 8.773 de 21/12/1993,LEI-8773-1993-12-21,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor do   Ministério da Indústria, do Comércio e do Turismo, crédito suplementar no valor   de Cr$ 816.524.302,00, para os fins que especifica."
9507,550539,Lei nº 8.663 de 14/06/1993,LEI-8663-1993-06-14,"Revoga o Decreto-Lei nº 869, de 12 de dezembro de 1969, e dá outras providências."
9508,550521,Lei nº 8.645 de 02/04/1993,LEI-8645-1993-04-02,Dispõe sobre antecipação de reajuste de vencimentos e de soldos dos   servidores civis e militares do Poder Executivo.
9509,550676,Lei nº 8.800 de 22/12/1993,LEI-8800-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério da Saúde - Fundo Nacional de Saúde, crédito   especial até o limite de Cr$ 60.000.000,00, para os fins que especifica."
9510,550683,Lei nº 8.807 de 22/12/1993,LEI-8807-1993-12-22,"Autoriza o Poder Executivo a abrir aos orçamentos da União, em favor da   Presidência da República, Ministério das Relações Exteriores e Encargos   Previdenciários da União, crédito suplementar no valor de Cr$ 450.364.937,00,   para os fins que especifica."
9511,550673,Lei nº 8.797 de 21/12/1993,LEI-8797-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   de Encargos Financeiros da União - Recursos sob Supervisão do Ministério da   Fazenda, crédito suplementar no valor de Cr$ 2.520.545.398,00, para os fins que   especifica."
9512,550526,Lei nº 8.650 de 22/04/1993,LEI-8650-1993-04-22,Dispõe sobre as relações de trabalho do Treinador Profissional de Futebol   e dá outras providências.
9513,550714,Lei nº 8.838 de 27/12/1993,LEI-8838-1993-12-27,"Autoriza o Poder Executivo a abrir, em favor do Ministério da Indústria,   do Comércio e do Turismo, crédito suplementar no valor de Cr$ 295.465.628,00,   para fins que especifica."
9514,550619,Lei nº 8.743 de 09/12/1993,LEI-8743-1993-12-09,"Inclui a categoria funcional de Agente de Portaria no Anexo X da Lei n.   7995, de 9 de janeiro de 1990."
9515,550566,Lei nº 8.690 de 27/07/1993,LEI-8690-1993-07-27,"Autoriza o Poder Executivo a abrir ao Orçamento da União crédito   suplementar no valor de Cr$756.722.800.000.000,00 para os fins que especifica."
9516,550614,Lei nº 8.738 de 01/12/1993,LEI-8738-1993-12-01,"Autoriza o Poder Executivo a abir ao Orçamento Fiscal da União, em favor   do Ministério da Cultura, crédito adicional até o limite de Cr$   1.686.008.204,00, para os fins que especifica."
9517,550605,Lei nº 8.729 de 10/11/1993,LEI-8729-1993-11-10,"Autoriza o Banco Central do Brasil a doar à União, para uso da Justiça   Federal de Primeira Instância/Seção Judiciária de São Paulo, o imóvel que   menciona."
9518,550596,Lei nº 8.720 de 19/10/1993,LEI-8720-1993-10-19,Cria cargos no Quadro Permanente de Pessoal da Secretaria do Tribunal   Regional do Trabalho da Décima Quinta Região e dá outras providências.
9519,550494,Lei nº 8.618 de 04/01/1993,LEI-8618-1993-01-04,Cria cargos nos Quadros de Pessoal das Instituições de Ensino Superior que   menciona e dá outras providências.
9520,550514,Lei nº 8.638 de 31/03/1993,LEI-8638-1993-03-31,"Acrescenta dispositivos à Consolidação das Leis do Trabalho, aprovada pelo   Decreto-lei nº 5452, de 1º de maio de 1943."
9521,550603,Lei nº 8.727 de 05/11/1993,LEI-8727-1993-11-05,"Estabelece diretrizes para a consolidação e o reescalonamento, pela União, de dívidas internas das administrações direta e indireta dos Estados, do Distrito Federal e dos Municípios, e dá outras providências."
9522,550659,Lei nº 8.783 de 21/12/1993,LEI-8783-1993-12-21,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério do Trabalho, crédito suplementar no valor de Cr$ 48.827.078,00,   para fins que especifica."
9523,550695,Lei nº 8.819 de 22/12/1993,LEI-8819-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Cultura, crédito suplementar no valor de Cr$ 43.908.290,00,   para os fins que especifica."
9524,550600,Lei nº 8.724 de 28/10/1993,LEI-8724-1993-10-28,"Altera a Lei nº 8.631, de 4 de março de 1993, estabelecendo novos   procedimentos nas compensações de CRC das concessionárias de serviços públicos   de eletricidade."
9525,550594,Lei nº 8.718 de 14/10/1993,LEI-8718-1993-10-14,"Altera o art. 294 da Lei nº 5.869, de 11 de janeiro de 1973 - Código de   Processo Civil."
9526,550717,Lei nº 8.841 de 27/12/1993,LEI-8841-1993-12-27,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor do   Ministério da Agricultura, do Abastecimento e da Reforma Agrária, créditos   adicionais até o limite de Cr$ 4.073.052.263,00, para fins que especifica."
9527,550583,Lei nº 8.707 de 20/09/1993,LEI-8707-1993-09-20,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   de Encargos Financeiros da União - Recursos sob Supervisão do Ministério da   Fazenda, crédito suplementar no valor de Cr$ 700.000.000.000,00, para os fins   que especifica."
9528,550623,Lei nº 8.747 de 09/12/1993,LEI-8747-1993-12-09,"Dá nova redação ao art. 4º da Lei nº 8.170, de 17 de janeiro de   1991."
9529,550632,Lei nº 8.756 de 13/12/1993,LEI-8756-1993-12-13,"Autoriza o Poder Executivo a abrir ao Orçamrnto Fiscal da União, em favor   do Ministério da Ciência e Tecnologia, crédito suplementar no valor de Cr$   22.892.235,00, para os fins que especifica."
9530,550707,Lei nº 8.831 de 23/12/1993,LEI-8831-1993-12-23,"Autoriza o Poder Executivo a abrir aos Orçamentos Fiscal e da Seguridade   Social, crédito suplementar de Cr$ 8.868.928.757,00, para os fins que   especifica."
9531,550602,Lei nº 8.726 de 05/11/1993,LEI-8726-1993-11-05,Dá nova redação ao inciso III do art. 131 da Consolidação das Leis do Trabalho   - CLT.
9532,550653,Lei nº 8.777 de 21/12/1993,LEI-8777-1993-12-21,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor do   Ministério da Educação e do Desporto, crédito suplementar no valor de Cr$   1.964.074.943,00, para os fins que especifica."
9533,550657,Lei nº 8.781 de 21/12/1993,LEI-8781-1993-12-21,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor da   Justiça Eleitoral, crédito suplementar no valor de Cr$ 11.775.000,00, para os   fins que especifica."
9534,550584,Lei nº 8.708 de 20/09/1993,LEI-8708-1993-09-20,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   de Encargos Financeiros da União - Recursos sob Supervisão do Ministério da   Fazenda, créditos adicionais até o limite de Cr$ 240.230.746.043,00, para os   fins que especifica."
9535,550535,Lei nº 8.659 de 27/05/1993,LEI-8659-1993-05-27,Concede antecipação de reajuste de vencimentos e de soldos aos servidores   civis e militares do Poder Executivo.
9536,550712,Lei nº 8.836 de 23/12/1993,LEI-8836-1993-12-23,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Educação e do Desporto, crédito adicional até o limite de Cr$   11.210.319,00, para os fins que especifica."
9537,550682,Lei nº 8.806 de 22/12/1993,LEI-8806-1993-12-22,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor do   Ministério de Minas e Energia, crédito suplementar no valor de Cr$   1.216.455.894,00, para os fins que especifica."
9538,550615,Lei nº 8.739 de 02/12/1993,LEI-8739-1993-12-02,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, em favor de   diversos órgãos, crédito suplementar no valor de Cr$ 36.257.411.000,00, para os   fins que especifica."
9539,550675,Lei nº 8.799 de 22/12/1993,LEI-8799-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento da União, em favor do   Ministério da Fazenda, crédito suplementar no valor de Cr$ 105.169.661,00, para   os fins que especifica."
9540,550579,Lei nº 8.703 de 06/09/1993,LEI-8703-1993-09-06,"Acrescenta parágrafo único ao art. 57 da Lei nº 8078, de 11 de setembro de   1990, que dispõe sobre a proteção do consumidor, e revoga o art. 3º da Lei nº   8656, de 21 de maio de 1993."
9541,550567,Lei nº 8.691 de 28/07/1993,LEI-8691-1993-07-28,"Dispõe sobre o Plano de Carreiras para a área de Ciência e Tecnologia da Administração Federal Direta, das Autarquias e das Fundações Federais e dá outras providências."
9542,550609,Lei nº 8.733 de 25/11/1993,LEI-8733-1993-11-25,Dá a denominação de Presidente Juscelino Kubitschek de Oliveira   à Rodovia BR-364.
9543,550536,Lei nº 8.660 de 28/05/1993,LEI-8660-1993-05-28,"Estabelece novos critérios para a fixação da Taxa Referencial - TR,   extingue a Taxa Referencial Diária - TRD e dá outras providências."
9544,550612,Lei nº 8.736 de 29/11/1993,LEI-8736-1993-11-29,"Altera o art. 2º da Lei nº 8.352, de 28 de dezembro de 1991, com a redação dada pela Lei nº 8.458, de 11 de setembro de 1992, que dispõe sobre as disponibilidades financeiras do Fundo de Amparo ao Trabalhador - FAT e dá outras providências, autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da União, em favor do Ministério da Saúde - Fundo Nacional de Saúde, crédito extraordinário no valor de Cr$ 35.000.000.000,00 (trinta e cinco bilhões de cruzeiros reais)."
9545,550585,Lei nº 8.709 de 23/09/1993,LEI-8709-1993-09-23,Dispõe sobre operações de crédito externo contratadas pelo extinto Banco   Nacional da Habitação.
9546,550638,Lei nº 8.762 de 14/12/1993,LEI-8762-1993-12-14,"Dispõe sobre a alienação de imóveis de propriedade da União, sob a   jurisdição do Ministério da Marinha."
9547,550617,Lei nº 8.741 de 03/12/1993,LEI-8741-1993-12-03,"Dispõe sobre a composição e a estrutura do Conselho   Nacional de Informática e Automação - CONIN, e dá outras providências."
9548,550572,Lei nº 8.696 de 26/08/1993,LEI-8696-1993-08-26,"Dispõe sobre a redução de multa pela antecipação do pagamento de tributo lançado, e dá nova redação ao art. 30 da Lei n° 8.177, de 1º de março de 1991."
9549,550709,Lei nº 8.833 de 23/12/1993,LEI-8833-1993-12-23,"Autoriza o Poder Executivo a abrir ao Orçamento de Seguridade Social da   União, em favor do Ministério da Previdência Social, crédito suplementar no   valor de Cr$ 115.190.597.716.,00, para os fins que especifica."
9550,550578,Lei nº 8.702 de 01/09/1993,LEI-8702-1993-09-01,Cria cargos de Patrulheiro Rodoviário Federal e dá outras   providências.
9551,550700,Lei nº 8.824 de 22/12/1993,LEI-8824-1993-12-22,"Autoriza o Poder Executivo a abrir ao Orçamento da Seguridade Social da   União, em favor do Ministério da Fazenda, crédito especial até o limite de Cr$   3.834.304.458,00, para os fins que especifica."
9552,550637,Lei nº 8.761 de 14/12/1993,LEI-8761-1993-12-14,"Autoriza o Poder Executivo a abrir aos Orçamentos da União, crédito   adicional até o limite de Cr$ 685.027.363,00, para fins que especifica."
9553,550563,Lei nº 8.687 de 20/07/1993,LEI-8687-1993-07-20,Retira da incidência do Imposto de Renda benefícios percebidos por   deficientes mentais.
9554,550711,Lei nº 8.835 de 23/12/1993,LEI-8835-1993-12-23,"Autoriza o Poder Executivo a abrir ao Orçamento Fiscal da União, em favor   do Ministério da Educação e do Desporto, crédito suplementar no valor de Cr$   16.086.887.174,00, para os fins que especifica."
9555,550541,Lei nº 8.665 de 18/06/1993,LEI-8665-1993-06-18,"Cancela débitos para com a Superintendência do Desenvolvimento da Pesca -   SUDEPE, e dá outras providências."
9556,550511,Lei nº 8.635 de 16/03/1993,LEI-8635-1993-03-16,Dá nova redação ao art. 184 do Código Penal.
