   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
98,546199,Lei nº 4.350 de 17/10/1921,LEI-4350-1921-10-17,Proroga para o exercicio de 1921 a lei de fixação de forças de terra ;de 1920
99,546087,Lei nº 4.242 de 05/01/1921,"LEI-4242-1921-01-05 , Lei Orçamentária - Despesas (1921)",Fixa a Despesa Geral dos Estados Unidos do Brasil para o exercício de 1921
100,546103,Lei nº 4.257 de 11/01/1921,LEI-4257-1921-01-11,Fixa a força naval para o exercício de 1921
101,30819408,Lei nº 4.632 de 06/01/1923,"LEI-4632-1923-01-06 , Lei Orçamentária - Despesas (1923)",Fixa a Despeza Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1923
102,30819191,Lei nº 4.985 de 31/12/1925,LEI-4985-1925-12-31,Fixa as forças de terra para o exercicio de 1926
103,30812319,Lei nº 4.984 de 31/12/1925,"LEI-4984-1925-12-31 , Lei Orçamentária - Receitas (1926)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1926
104,547481,Lei nº 5.610 de 24/12/1928,LEI-5610-1928-12-24,Fixa a despesa geral da Republica dos Estados Unidos do Brasil para o exercicio de 1929
105,546290,Lei nº 4.440 de 31/12/1921,"LEI-4440-1921-12-31 , Lei Orçamentária - Receitas (1922)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercício de 1922
106,30819515,Lei nº 4.489 de 18/01/1922,LEI-4489-1922-01-18,Fixa as forças de terra para o exercicio de 1922
107,30812591,Lei nº 4.625 de 31/12/1922,"LEI-4625-1922-12-31 , Lei Orçamentária - Receitas (1923)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1923
108,546383,Lei nº 4.531 de 28/01/1922,LEI-4531-1922-01-28,Fixa a força Naval para o anno de 1922
109,30812465,Lei nº 4.771 de 21/12/1923,LEI-4771-1923-12-21,Fixa as forças de terra para o exercicio de 1924.
110,546636,Lei nº 4.783 de 31/12/1923,"LEI-4783-1923-12-31 , Lei Orçamentária - Receitas (1924)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1924
111,30819301,Lei nº 4.793 de 07/01/1924,"LEI-4793-1924-01-07 , Lei Orçamentária - Despesas (1924)",Fixa a despesa geral da Republica dos Estados Unidos do Brasil para o exercício de 1924
112,546767,Lei nº 4.911 de 12/01/1925,"LEI-4911-1925-01-12 , Lei Orçamentária - Despesas (1925)",Fixa a Despesa Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1925
113,30812260,Lei nº 5.127 de 31/12/1926,"LEI-5127-1926-12-31 , Lei Orçamentária - Receitas (1927)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1927
114,547015,Lei nº 5.156 de 12/01/1927,"LEI-5156-1927-01-12 , Lei Orçamentária - Despesas (1927)",Fixa a Despeza Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1927
115,547156,Lei nº 5.294 de 20/10/1927,LEI-5294-1927-10-20,"Fixa as forças de terra para, o exercicio de 1928"
116,547280,Lei nº 5.416 de 30/12/1927,LEI-5416-1927-12-30,Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1928
